Game Starts	game_start
The ground is pledged.    1. Redeem at price 800    2. Exit    	redeem_ground
The ground is yours.    1. Build a hotel at price 1600    2. Exit    	build
The ground is yours.    1. Build a house at price 1000    2. Exit    	build
The ground is yours.    1. Build a house at price 200    2. Exit    	build
The ground is yours.    1. Build a house at price 300    2. Exit    	build
The ground is yours.    1. Build a house at price 400    2. Exit    	build
The ground is yours.    1. Build a house at price 500    2. Exit    	build
The ground is yours.    1. Build a house at price 700    2. Exit    	build
The ground is yours.    1. Build a house at price 800    2. Exit    	build
The result is 10	dice(10)
The result is 11	dice(11)
The result is 12	dice(12)
The result is 2	dice(2)
The result is 3	dice(3)
The result is 4	dice(4)
The result is 5	dice(5)
The result is 6	dice(6)
The result is 7	dice(7)
The result is 8	dice(8)
The result is 9	dice(9)
This is Player a's turn.    1. Throw dice    2. Search information    	choice(1)
This is Player b's turn.    1. Throw dice    2. Search information    	choice(2)
You are arrested	arrested
You are in prison. Please wait for 1 rounds.	pause(1)
You don't have enough money to build.	insufficient_money
You don't have enough money to buy this ground.	insufficient_money
You have successfully pledged the country.	successful_pledged
Your money isn't enough.PLease choose a ground to pledge.    1. China(The  price is: 2000 yuan)    2. Japan(The  price is: 1400 yuan)    3. Maldives(The  price is: 1600 yuan)    4. Philippines(The  price is: 1400 yuan)    5. Bangladesh(The  price is: 1000 yuan)    6. Sri Lanka(The  price is: 800 yuan)    7. Afghanistan(The  price is: 800 yuan)    8. Israel(The  price is: 600 yuan)    9. Kazakhstan(The  price is: 800 yuan)    10. Vietnam(The  price is: 800 yuan)    11. Cambodia(The  price is: 400 yuan)    12. Singapore(The  price is: 1600 yuan)    	1
2
6
7
9
11
14
15
18
19
21
25

b is the winner.	winner(b)

